id,supplier_id,brand_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2930396,9,9,6.64,2.79,Climax GSTC-025-28-SS 1/4^-28 ID SPLIT Threaded Clamp Collar SS,118,GSTC-025-28-SS,0.025454,1,FALSE,24,50
2930397,9,9,2.79,1.17,Climax GSTC-031-18-B 5/16^-18 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-031-18-B,0.025,1,FALSE,24,50
2930398,9,9,6.64,2.79,Climax GSTC-031-18-SS 5/16^-18 ID SPLIT Threaded Clamp Collar SS,118,GSTC-031-18-SS,0.024857,1,FALSE,24,50
2930399,9,9,2.79,1.17,Climax GSTC-031-24-B 5/16^-24 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-031-24-B,0.025,1,FALSE,24,50
2930400,9,9,6.64,2.79,Climax GSTC-031-24-SS 5/16^-24 ID SPLIT Threaded Clamp Collar SS,118,GSTC-031-24-SS,0.024857,1,FALSE,24,50
2930401,9,9,2.95,1.24,Climax GSTC-037-16-B 3/8^-16 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-037-16-B,0.05,1,FALSE,24,50
2930402,9,9,6.98,2.93,Climax GSTC-037-16-SS 3/8^-16 ID SPLIT Threaded Clamp Collar SS,118,GSTC-037-16-SS,0.049715,1,FALSE,24,50
2930403,9,9,2.95,1.24,Climax GSTC-037-24-B 3/8^-24 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-037-24-B,0.0462,1,FALSE,24,50
2930404,9,9,6.98,2.93,Climax GSTC-037-24-SS 3/8^-24 ID SPLIT Threaded Clamp Collar SS,118,GSTC-037-24-SS,0.045937,1,FALSE,24,50
2930405,9,9,3.07,1.29,Climax GSTC-043-14-B 7/16^-14 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-043-14-B,0.0875,1,FALSE,24,50
