"ID","DETAIL_ATTRIBUTES"
6351487,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351499,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351503,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351517,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351523,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351557,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351561,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351569,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351573,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351575,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351577,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351581,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351597,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351611,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351615,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351627,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351629,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351639,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351643,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351645,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351661,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351672,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351681,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351689,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351707,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351709,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
