"ID","WEIGHT"
485507,"7.87"
485506,"2.18"
485505,"6.4"
485504,"6.95"
485502,"1.71"
485501,"5.32"
485500,"5.7"
485499,"1.34"
485498,"4.32"
485497,"4.77"
485496,"1.23"
485495,"3.67"
485494,"3.62"
485493,"0.96"
485491,"3.07"
485489,"3.24"
485488,"0.79"
485487,"2.62"
485486,"2.8"
485485,"0.72"
485484,"2.64"
485482,"2.55"
485481,"2.55"
485480,"0.71"
485478,"2.02"
485477,"1.99"
485475,"0.5"
485474,"1.59"
485472,"2.34"
485471,"1.58"
485469,"0.42"
485467,"1.22"
485466,"1.2"
485465,"0.3"
485464,"0.28"
485463,"1.06"
485462,"1.06"
485461,"0.99"
485459,"1.06"
485457,"0.86"
485456,"0.9"
485455,"0.22"
485454,"0.72"
485453,"0.71"
485452,"0.17"
485451,"0.5"
485450,"0.12"
485449,"0.34"
485448,"0.09"
485447,"1.14"
485446,"0.62"
485444,"0.62"
485441,"0.45"
478646,"23.1"
478644,"16.69"
478639,"15"
478638,"17.02"
478637,"14.3"
478636,"17.03"
478630,"10.35"
478629,"12.62"
478628,"9.48"
478627,"9.67"
478626,"9.48"
478623,"7"
478622,"4"
478621,"7.3"
478620,"7.6"
478613,"6.95"
478612,"5.5"
478611,"5"
478610,"5.33"
478609,"6.01"
478608,"5.33"
478604,"4"
478603,"4"
478602,"3.87"
478601,"3.96"
478600,"3.87"
478595,"2.7"
478594,"2.4"
478592,"2.93"
478587,"2"
478585,"2.18"
478584,"2.25"
478578,"1.35"
478577,"1.3"
478576,"1.35"
478575,"1.43"
478574,"1.35"
478570,"1.11"
478569,"1.25"
478568,"1.11"
478567,"1.11"
478563,"0.88"
478562,"0.8"
478561,"0.88"
478560,"0.88"
484981,"81.24"
484977,"185"
484975,"52.24"
484966,"225"
484963,"135"
484960,"130"
484957,"121"
484954,"116"
484949,"117"
484946,"117"
484943,"114"
484941,"114"
484936,"104"
484934,"104"
484904,"54.24"
484900,"74.24"
484898,"73.38"
484896,"175"
484894,"47.24"
484887,"119"
484882,"120"
484879,"115"
484878,"206"
484877,"109"
484876,"109"
484875,"105"
484869,"102"
484861,"105"
484858,"102"
484816,"54"
484811,"47"
484808,"196"
484804,"194"
484802,"191"
484800,"105"
484797,"101"
484795,"191"
484792,"97"
484790,"97"
484789,"92"
484786,"159"
484784,"171"
484780,"182"
484779,"180"
484773,"45.24"
484765,"180"
484764,"98"
484761,"94"
484760,"181"
484758,"181"
484756,"178"
484755,"92"
484753,"94"
484752,"90"
484749,"178"
484747,"178"
484741,"85"
484740,"83"
484738,"83"
484736,"167"
484734,"167"
484729,"41.24"
484726,"50"
484724,"162"
484722,"55.38"
484720,"156"
484709,"66"
484704,"36"
484701,"44"
484700,"46"
484697,"59"
484693,"58"
484692,"58"
484689,"39"
484688,"39"
484686,"41"
484657,"49"
484651,"42"
484644,"105"
484642,"178"
484636,"88"
484634,"175"
484633,"172"
484632,"97"
484630,"97"
484620,"163"
484617,"42.24"
484615,"40.24"
484612,"60.24"
484608,"166"
484606,"169"
484601,"80"
484598,"166"
484593,"81"
484591,"77"
484588,"163"
