"ID","DETAIL_ATTRIBUTES"
758433,"Gear Drive Size:Delta|Height (in):11.00|Length (in):5.00|Volume Unit:GLL|Width (in):11.00"
758434,"Gear Drive Size:Delta|Height (in):11.00|Length (in):5.00|Volume Unit:GLL|Width (in):11.00"
758435,"Gear Drive Size:Delta;Luna;Neptune|Height (in):2.00|Length (in):2.00|Volume Unit:CDM|Width (in):2.00"
758436,"Gear Drive Size:Delta;Luna|Height (in):3.00|Length (in):2.00|Volume Unit:GLL|Width (in):3.00"
758437,"Gear Drive Size:Luna|Height (in):4.00|Length (in):2.00|Volume Unit:CDM|Width (in):4.00"
758501,"Gear Drive Size:Venus|Height (in):18.00|Length (in):20.00|Volume Unit:Hectoliter|Width (in):18.00"
758502,"Gear Drive Size:Venus|Height (in):16.00|Length (in):31.00|Volume Unit:Hectoliter|Width (in):18.00"
758505,"Gear Drive Size:Venus|Height (in):18.00|Length (in):31.00|Volume Unit:Hectoliter|Width (in):18.00"
758507,"Gear Drive Size:Venus|Height (in):18.00|Length (in):26.00|Volume Unit:Cubic meter|Width (in):18.00"
758508,"Gear Drive Size:Venus|Height (in):18.00|Length (in):26.00|Volume Unit:Cubic meter|Width (in):18.00"
758509,"Gear Drive Size:Venus|Height (in):18.00|Length (in):26.00|Volume Unit:Cubic meter|Width (in):18.00"
758751,"Gear Drive Size:Mercury|Height (in):7.00|Length (in):16.00|Volume Unit:GLL|Width (in):7.00"
758754,"Gear Drive Size:Mercury|Height (in):8.00|Length (in):18.00|Volume Unit:GLL|Width (in):8.00"
758755,"Gear Drive Size:Mercury|Height (in):8.00|Length (in):8.00|Volume Unit:Hectoliter|Width (in):23.00"
758759,"Gear Drive Size:Mercury|Height (in):8.00|Length (in):23.00|Volume Unit:Hectoliter|Width (in):8.00"
758762,"Gear Drive Size:Mercury|Height (in):8.00|Length (in):21.00|Volume Unit:GLL|Width (in):8.00"
758768,"Gear Drive Size:Mercury|Height (in):8.00|Length (in):23.00|Volume Unit:Hectoliter|Width (in):8.00"
758826,"Gear Drive Size:Mars|Height (in):8.00|Length (in):17.00|Volume Unit:GLL|Width (in):8.00"
758829,"Gear Drive Size:Mars|Height (in):8.00|Length (in):19.00|Volume Unit:GLL|Width (in):8.00"
758830,"Gear Drive Size:Mars|Height (in):7.00|Length (in):7.00|Volume Unit:GLL|Width (in):23.00"
758832,"Gear Drive Size:Mars|Height (in):8.00|Length (in):26.00|Volume Unit:GLL|Width (in):8.00"
758834,"Gear Drive Size:Mars|Height (in):8.00|Length (in):22.00|Volume Unit:GLL|Width (in):8.00"
758836,"Gear Drive Size:Mars|Height (in):8.00|Length (in):21.00|Volume Unit:GLL|Width (in):8.00"
758837,"Gear Drive Size:Mars|Height (in):8.00|Length (in):22.00|Volume Unit:GLL|Width (in):8.00"
758838,"Gear Drive Size:Mars|Height (in):8.00|Length (in):22.00|Volume Unit:GLL|Width (in):8.00"
2215984,"Gear Drive Size:Atlas|Height (in):14.00|Length (in):18.00|Volume Unit:Cubic meter|Width (in):31.00"
2343057,"Gear Drive Size:Mercury;Mars|Height (in):0.00|Length (in):0.00|Width (in):0.00"
2343072,"Gear Drive Size:Mars|Height (in):0.00|Length (in):0.00|Width (in):0.00"
2926586,"Gear Drive Size:NeptunePlus|Height (in):48.00|Length (in):48.00|Volume Unit:Cubic meter|Width (in):48.00"
5883693,"Gear Drive Size:Ultramite-General|Height (in):0.00|Length (in):0.00|Width (in):0.00"
5893482,"Height (in):0.00|Length (in):0.00|Width (in):0.00"
5894089,"Gear Drive Size:Neptune;NeptunePlus|Height (in):10.00|Length (in):22.00|Volume Unit:GLL|Width (in):10.00"
