ID,ATTRIBUTES
479134,Product Size:60|Coupling Type:Elastomeric
479135,Product Size:60|Coupling Type:Elastomeric
479137,Product Size:70|Coupling Type:Elastomeric
479139,Product Size:70M|Coupling Type:Elastomeric
479143,Product Size:80|Coupling Type:Elastomeric
479145,Product Size:80M|Coupling Type:Elastomeric
479146,Product Size:100|Coupling Type:Elastomeric
479148,Product Size:100M|Coupling Type:Elastomeric
479149,Product Size:120|Coupling Type:Elastomeric
479151,Product Size:120M|Coupling Type:Elastomeric
479152,Product Size:140|Coupling Type:Elastomeric
479154,Product Size:140M|Coupling Type:Elastomeric
479155,Product Size:3|Coupling Type:Elastomeric
479156,Product Size:3M|Coupling Type:Elastomeric
479157,Product Size:4|Coupling Type:Elastomeric
479158,Product Size:4M|Coupling Type:Elastomeric
479159,Product Size:5|Coupling Type:Elastomeric
479160,Product Size:5M|Coupling Type:Elastomeric
479161,Product Size:10|Coupling Type:Elastomeric
479162,Product Size:10M|Coupling Type:Elastomeric
479163,Product Size:20|Coupling Type:Elastomeric
479164,Product Size:20M|Coupling Type:Elastomeric
479166,Product Size:30|Coupling Type:Elastomeric
479167,Product Size:30M|Coupling Type:Elastomeric
479169,Product Size:40|Coupling Type:Elastomeric
479170,Product Size:40M|Coupling Type:Elastomeric
479172,Product Size:50|Coupling Type:Elastomeric
479173,Product Size:50M|Coupling Type:Elastomeric
479174,Product Size:60|Coupling Type:Elastomeric
479175,Product Size:60M|Coupling Type:Elastomeric
479178,Product Size:70|Coupling Type:Elastomeric
479180,Product Size:70M|Coupling Type:Elastomeric
479182,Product Size:80|Coupling Type:Elastomeric
479183,Product Size:80M|Coupling Type:Elastomeric
479184,Product Size:100|Coupling Type:Elastomeric
479185,Product Size:100M|Coupling Type:Elastomeric
479186,Product Size:120|Coupling Type:Elastomeric
479187,Product Size:120M|Coupling Type:Elastomeric
479188,Product Size:140|Coupling Type:Elastomeric
479189,Product Size:140M|Coupling Type:Elastomeric
479190,Product Size:4|Coupling Type:Elastomeric
479191,Product Size:5|Coupling Type:Elastomeric
479193,Product Size:10|Coupling Type:Elastomeric
479194,Product Size:20|Coupling Type:Elastomeric
479195,Product Size:30|Coupling Type:Elastomeric
479197,Product Size:40|Coupling Type:Elastomeric
479198,Product Size:50|Coupling Type:Elastomeric
479199,Product Size:60|Coupling Type:Elastomeric
479201,Product Size:70|Coupling Type:Elastomeric
479202,Product Size:80|Coupling Type:Elastomeric
479203,Product Size:120|Coupling Type:Elastomeric
479204,Product Size:100|Coupling Type:Elastomeric
479206,Product Size:140|Coupling Type:Elastomeric
479207,Product Size:2|Coupling Type:Elastomeric
479208,Product Size:2|Coupling Type:Elastomeric
479209,"Product Size:3, 4, 5|Coupling Type:Elastomeric"
479210,"Product Size:3, 4, 5|Coupling Type:Elastomeric"
479211,Product Size:10|Coupling Type:Elastomeric
479212,"Product Size:3, 4, 5|Coupling Type:Elastomeric"
479213,Product Size:20/30|Coupling Type:Elastomeric
479214,Product Size:20/30|Coupling Type:Elastomeric
479215,Product Size:40/50|Coupling Type:Elastomeric
479216,Product Size:40/50|Coupling Type:Elastomeric
479217,Product Size:60/70/80|Coupling Type:Elastomeric
479218,Product Size:40/50|Coupling Type:Elastomeric
479219,Product Size:100|Coupling Type:Elastomeric
479220,Product Size:100|Coupling Type:Elastomeric
479221,Product Size:120|Coupling Type:Elastomeric
479222,Product Size:120|Coupling Type:Elastomeric
479223,Product Size:140|Coupling Type:Elastomeric
479224,Product Size:50|Coupling Type:Elastomeric
479225,Product Size:50|Coupling Type:Elastomeric
479226,Product Size:20|Coupling Type:Elastomeric
479227,Product Size:30|Coupling Type:Elastomeric
479228,Product Size:30|Coupling Type:Elastomeric
480155,Product Size:30|Coupling Type:Elastomeric
480156,Product Size:40|Coupling Type:Elastomeric
480184,Product Size:2|Coupling Type:Elastomeric
480186,Product Size:3|Coupling Type:Elastomeric
480189,Product Size:5|Coupling Type:Elastomeric
480191,Product Size:10|Coupling Type:Elastomeric
480228,Product Size:10|Coupling Type:Elastomeric
480229,Product Size:10|Coupling Type:Elastomeric
480230,Product Size:30|Coupling Type:Elastomeric
480231,Product Size:30|Coupling Type:Elastomeric
480232,Product Size:30|Coupling Type:Elastomeric
480233,Product Size:20|Coupling Type:Elastomeric
480234,Product Size:20|Coupling Type:Elastomeric
480235,Product Size:20|Coupling Type:Elastomeric
480236,Product Size:30|Coupling Type:Elastomeric
480237,Product Size:30|Coupling Type:Elastomeric
480238,Product Size:40|Coupling Type:Elastomeric
480239,Product Size:60|Coupling Type:Elastomeric
480240,Product Size:60|Coupling Type:Elastomeric
753865,"Product Size:E15|Coupling Type:Elastomeric|Maximum RPM:6,600"
753866,"Product Size:E/ES3-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
753868,Product Size:40|Coupling Type:Elastomeric
753869,Product Size:2|Coupling Type:Elastomeric
753870,"Product Size:3, 4, 5|Coupling Type:Elastomeric"
753871,"Product Size:3, 4, 5|Coupling Type:Elastomeric"
753872,Product Size:10|Coupling Type:Elastomeric
753873,Product Size:20/30|Coupling Type:Elastomeric
753874,Product Size:20/30|Coupling Type:Elastomeric
753875,Product Size:40/50|Coupling Type:Elastomeric
753876,Product Size:40/50|Coupling Type:Elastomeric
753877,Product Size:60/70/80|Coupling Type:Elastomeric
753878,"Product Size:60M, 70M, 6|Coupling Type:Elastomeric"
753879,Product Size:100|Coupling Type:Elastomeric
753880,Product Size:120|Coupling Type:Elastomeric
753881,Product Size:140|Coupling Type:Elastomeric
753886,Product Size:30|Coupling Type:Elastomeric
756656,"Product Size:E2|Coupling Type:Elastomeric|Maximum RPM:6,600"
756657,"Product Size:E2M|Coupling Type:Elastomeric|Maximum RPM:6,600"
756659,"Product Size:E3|Coupling Type:Elastomeric|Maximum RPM:6,600"
756660,"Product Size:E3M|Coupling Type:Elastomeric|Maximum RPM:6,600"
756662,"Product Size:E4M|Coupling Type:Elastomeric|Maximum RPM:6,600"
756665,"Product Size:E5|Coupling Type:Elastomeric|Maximum RPM:6,600"
756666,"Product Size:E5M|Coupling Type:Elastomeric|Maximum RPM:6,600"
756668,"Product Size:E5|Coupling Type:Elastomeric|Maximum RPM:6,600"
756671,"Product Size:E10|Coupling Type:Elastomeric|Maximum RPM:6,600"
756673,"Product Size:E15M|Coupling Type:Elastomeric|Maximum RPM:6,600"
756676,"Product Size:E20|Coupling Type:Elastomeric|Maximum RPM:6,600"
756678,"Product Size:E30MJ|Coupling Type:Elastomeric|Maximum RPM:5,800"
756680,"Product Size:E30|Coupling Type:Elastomeric|Maximum RPM:5,800"
756683,"Product Size:E40M|Coupling Type:Elastomeric|Maximum RPM:5,500"
756684,"Product Size:E40MJ|Coupling Type:Elastomeric|Maximum RPM:5,500"
756687,"Product Size:E40|Coupling Type:Elastomeric|Maximum RPM:5,500"
756689,"Product Size:E50M|Coupling Type:Elastomeric|Maximum RPM:4,200"
756690,"Product Size:E50MJ|Coupling Type:Elastomeric|Maximum RPM:4,200"
756691,"Product Size:E50|Coupling Type:Elastomeric|Maximum RPM:4,200"
756692,"Product Size:E60M|Coupling Type:Elastomeric|Maximum RPM:3,800"
756693,"Product Size:E60MJ|Coupling Type:Elastomeric|Maximum RPM:3,800"
756695,"Product Size:E70M|Coupling Type:Elastomeric|Maximum RPM:3,600"
756697,"Product Size:E70|Coupling Type:Elastomeric|Maximum RPM:3,600"
756698,"Product Size:E80M|Coupling Type:Elastomeric|Maximum RPM:2,000"
756703,"Product Size:E100M|Coupling Type:Elastomeric|Maximum RPM:1,900"
756705,"Product Size:E140M|Coupling Type:Elastomeric|Maximum RPM:1,500"
756708,"Product Size:ES4-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
756712,"Product Size:ES5-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
756715,"Product Size:ES5-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
