"id", "catalog_number", "attributes", "detail_attributes"
"2565669","79666","Width (in):60","Trainer Material:Mild Steel Powdercoat|Maximum Belt Tension (PIW):6000|Belt Width (in):60|Belt Width (mm):1500|Installation Position:V-Return Side|Design:Custom - Requires Customer Data|Weight (kg):217.7|Maximum Belt Tension (N/mm):1050|Weight (lbs):480.0"
"2565668","79665","Width (in):54","Trainer Material:Mild Steel Powdercoat|Maximum Belt Tension (PIW):6000|Belt Width (in):54|Belt Width (mm):1350|Installation Position:V-Return Side|Design:Custom - Requires Customer Data|Weight (kg):213.2|Maximum Belt Tension (N/mm):1050|Weight (lbs):470.0"
"2565667","79571","",""
"2565666","79487","",""
"2565665","79476","",""
"2565664","79473","",""
"2565663","79470","",""
"2565662","79382","",""
"2565661","79381","",""
"2565660","79380","",""
"2565659","79378","",""
"2565658","79291","",""
"2565657","79281","",""
"2565656","79280","",""
"2565655","79279","",""
"2565654","79278","",""
"2565653","79277","",""
"2565652","79276","",""
"2565651","79275","",""
"2565650","79274","",""
"2565649","79273","",""
"2565648","79272","",""
"2565647","79271","",""
"2565646","79270","",""
"2565645","79269","",""
"2565644","79268","",""
"2565643","79267","",""
"2565642","79067","",""
"2565641","78852","",""
"2565640","78851","",""
"2565639","78767","",""
"2565638","77756","",""
"2565637","77755","",""
"2565636","77729","",""
"2565635","77702","",""
"2565634","77701","",""
"2565633","77700","",""
"2565632","77699","",""
"2565631","77698","",""
"2565630","77697","",""
"2565629","77696","",""
"2565628","77694","",""
"2565627","77692","",""
"2565626","77691","",""
"2565625","77690","",""
"2565624","77689","",""
"2565623","77688","",""
"2565622","77687","",""
"2565621","77686","",""
"2565620","77685","",""
"2565619","77684","",""
"2565618","77683","",""
"2565617","77682","",""
"2565616","77681","",""
"2565615","77680","",""
"2565614","77679","Width (in):72","Belt Width (in):72|Belt Width (mm):1800|Maximum Belt Tension (PIW):1600|Weight (kg):120.2|Maximum Belt Tension (N/mm):280|Weight (lbs):265.0"
"2565613","77678","Width (in):60","Belt Width (in):60|Belt Width (mm):1500|Maximum Belt Tension (PIW):1600|Weight (kg):115.6|Maximum Belt Tension (N/mm):280|Weight (lbs):255.0"
