id,catalog_number,upc_number,weight,main_image,documents,attributes
5899606,10685072,EXIST,EXIST,,,
5899605,10685071,EXIST,EXIST,,,
5899604,10685070,EXIST,EXIST,,,
5899603,10685069,EXIST,EXIST,,,
5899602,10685068,EXIST,EXIST,,,
5899601,10685067,EXIST,EXIST,,,
5899600,10685066,EXIST,EXIST,,,
5899599,10685065,EXIST,EXIST,,,
5899598,10685064,EXIST,EXIST,,,
5899597,10685063,EXIST,EXIST,,,
5899596,10685062,EXIST,EXIST,,,
5899595,10685061,EXIST,EXIST,,,
5899594,10685060,EXIST,EXIST,,,
5899593,10685059,EXIST,EXIST,,,
5899592,10685058,EXIST,EXIST,,,
5899591,10685057,EXIST,EXIST,,,
5899590,10685056,EXIST,EXIST,,,
5899589,10685055,EXIST,EXIST,,,
5899588,10685054,EXIST,EXIST,,,
5899587,10685053,EXIST,EXIST,,,
5899586,10685052,EXIST,EXIST,,,
5899585,10685051,EXIST,EXIST,,,
5899584,10685050,EXIST,EXIST,,,
5899583,10685049,EXIST,EXIST,,,
5899582,10685048,EXIST,EXIST,,,
5899581,10685047,EXIST,EXIST,,,
5899580,10685046,EXIST,EXIST,,,
5899579,10685045,EXIST,EXIST,,,
5899578,10685044,EXIST,EXIST,,,
5899577,10685043,EXIST,EXIST,,,
5899576,10685042,EXIST,EXIST,,,
5899575,10685041,EXIST,EXIST,,,
5899574,10685040,EXIST,EXIST,,,
5899573,10685039,EXIST,EXIST,,,
5899572,10685038,EXIST,EXIST,,,
5899571,10685037,EXIST,EXIST,,,
5899570,10685036,EXIST,EXIST,,,
5899569,10685035,EXIST,EXIST,,,
5899568,10685034,EXIST,EXIST,,,
5899567,10685033,EXIST,EXIST,,,
5899566,10685032,EXIST,EXIST,,,
5899565,10685031,EXIST,EXIST,,,
5899564,10685030,EXIST,EXIST,,,
5899563,10685029,EXIST,EXIST,,,
5899562,10685028,EXIST,EXIST,,,
5899561,10685027,EXIST,EXIST,,,
5899560,10685026,EXIST,EXIST,,,
5899559,10685025,EXIST,EXIST,,,
5899558,10685024,EXIST,EXIST,,,
5899557,10685023,EXIST,EXIST,,,
5899556,10685022,EXIST,EXIST,,,
5899555,10685021,EXIST,EXIST,,,
5899554,10685020,EXIST,EXIST,,,
5899553,10685019,EXIST,EXIST,,,
5899552,10685018,EXIST,EXIST,,,
5899551,10685017,EXIST,EXIST,,,
5899550,10685016,EXIST,EXIST,,,
5899549,10685015,EXIST,EXIST,,,
5899548,10685014,EXIST,EXIST,,,
5899547,10685013,EXIST,EXIST,,,
5899546,10685012,EXIST,EXIST,,,
5899545,10685011,EXIST,EXIST,,,
5899544,10685010,EXIST,EXIST,,,
5899543,10685009,EXIST,EXIST,,,
5899542,10685008,EXIST,EXIST,,,
5899541,10685007,EXIST,EXIST,,,
5899540,10685006,EXIST,EXIST,,,
5899539,10685005,EXIST,EXIST,,,
